MXEF Index,
Date,PX_LAST
#NAME?,332.53
5/26/2006,769.7
6/2/2006,767.11
6/9/2006,706.1
6/16/2006,706.75
6/23/2006,699.76
6/30/2006,747.54
7/7/2006,751.51
7/14/2006,722.67
7/21/2006,729.88
7/28/2006,755.4
8/4/2006,763.4
8/11/2006,768.47
8/18/2006,777.22
8/25/2006,766
9/1/2006,778.57
9/8/2006,770.11
9/15/2006,771.51
9/22/2006,764.86
9/29/2006,778.16
10/6/2006,783.79
10/13/2006,803.67
10/20/2006,807.13
10/27/2006,814.83
11/3/2006,826.91
11/10/2006,842.7
11/17/2006,843.76
11/24/2006,862.97
12/1/2006,875.71
12/8/2006,885.44
12/15/2006,891.64
12/22/2006,892.95
12/29/2006,912.65
1/5/2007,893.96
1/12/2007,884.53
1/19/2007,896.78
1/26/2007,901.99
2/2/2007,919.62
2/9/2007,924.16
2/16/2007,937.11
2/23/2007,940.24
3/2/2007,877.6
3/9/2007,889.33
3/16/2007,882.88
3/23/2007,923.44
3/30/2007,929.03
4/6/2007,950.45
4/13/2007,968.99
4/20/2007,979.57
4/27/2007,975.81
5/4/2007,995.29
5/11/2007,990.84
5/18/2007,1005.71
5/25/2007,1004.87
6/1/2007,1031.51
6/8/2007,1006.86
6/15/2007,1049.36
6/22/2007,1064.22
6/29/2007,1059.69
7/6/2007,1105.99
7/13/2007,1146.12
7/20/2007,1151.04
7/27/2007,1085.32
8/3/2007,1080.33
8/10/2007,1043.57
8/17/2007,957.96
8/24/2007,1039.79
8/31/2007,1086.98
9/7/2007,1088.49
9/14/2007,1107.74
9/21/2007,1161.14
9/28/2007,1204.9
10/5/2007,1246.04
10/12/2007,1276.5
10/19/2007,1263.26
10/26/2007,1311.52
11/2/2007,1310.15
11/9/2007,1278.03
11/16/2007,1245.79
11/23/2007,1186.06
11/30/2007,1242.06
12/7/2007,1282.74
12/14/2007,1224.65
12/21/2007,1215.99
12/28/2007,1247.07
1/4/2008,1225.03
1/11/2008,1213.7
1/18/2008,1136.25
1/25/2008,1111.14
2/1/2008,1120
2/8/2008,1095.36
2/15/2008,1133.82
2/22/2008,1150.3
2/29/2008,1167.66
3/7/2008,1117.5
3/14/2008,1092.54
3/21/2008,1052.01
3/28/2008,1112.76
4/4/2008,1145.21
4/11/2008,1160.36
4/18/2008,1175.85
4/25/2008,1189.01
5/2/2008,1207.46
5/9/2008,1188.61
5/16/2008,1240.31
5/23/2008,1207.96
5/30/2008,1210.04
6/6/2008,1182.84
6/13/2008,1120.02
6/20/2008,1110.48
6/27/2008,1084.79
7/4/2008,1030.32
7/11/2008,1043
7/18/2008,1022.16
7/25/2008,1024.52
8/1/2008,1029.81
8/8/2008,990.02
8/15/2008,971.89
8/22/2008,956.22
8/29/2008,956.25
9/5/2008,873.68
9/12/2008,855.47
9/19/2008,845.56
9/26/2008,823.69
10/3/2008,741.73
10/10/2008,591.9
10/17/2008,567.92
10/24/2008,473.98
10/31/2008,570.52
11/7/2008,564.76
11/14/2008,530.28
11/21/2008,467.63
11/28/2008,526.97
12/5/2008,497.51
12/12/2008,551.71
12/19/2008,582.06
12/26/2008,551.58
1/2/2009,580.96
1/9/2009,571.25
1/16/2009,537.84
1/23/2009,507.29
1/30/2009,529.53
2/6/2009,557.53
2/13/2009,554.31
2/20/2009,502.51
2/27/2009,499.3
3/6/2009,488.31
3/13/2009,527.98
3/20/2009,552.99
3/27/2009,591.32
4/3/2009,617.11
4/10/2009,636.04
4/17/2009,643.4
4/24/2009,647.84
5/1/2009,662.83
5/8/2009,725.13
5/15/2009,707.93
5/22/2009,746.42
5/29/2009,773.12
6/5/2009,786.96
6/12/2009,790.19
6/19/2009,750.47
6/26/2009,761.92
